"filename", "language", "Lua", "JSON", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ResourceBar.lua", "Lua", 329, 0, 5, 30, 364
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ShortcutBar.lua", "Lua", 295, 0, 5, 33, 333
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\SideBar.lua", "Lua", 535, 0, 4, 56, 595
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Skin.lua", "Lua", 633, 0, 39, 56, 728
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\SocketList.lua", "Lua", 290, 0, 1, 28, 319
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\TalkingHead.lua", "Lua", 150, 0, 10, 19, 179
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\Tech.lua", "Lua", 1094, 0, 34, 140, 1268
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\TextChat.lua", "Lua", 62, 0, 0, 11, 73
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\balance.lua", "Lua", 109, 0, 0, 16, 125
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\netwalk.lua", "Lua", 144, 0, 7, 20, 171
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\nineclicks.lua", "Lua", 69, 0, 4, 11, 84
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\minigame\slide.lua", "Lua", 108, 0, 6, 21, 135
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\ui.lua", "Lua", 742, 0, 28, 82, 852
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\utilities.lua", "Lua", 251, 0, 2, 25, 278
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\viruspopup.lua", "Lua", 48, 0, 1, 10, 59
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\ui\widgets.lua", "Lua", 138, 0, 0, 12, 150
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\utilities.lua", "Lua", 710, 0, 56, 78, 844
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\values.lua", "Lua", 119, 0, 9, 11, 139
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\visualassets.lua", "Lua", 3257, 0, 6, 68, 3331
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\Stage References 1-0\visuals.lua", "Lua", 2783, 0, 202, 313, 3298
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\data.lua", "Lua", 20, 0, 3, 7, 30
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\def.json", "JSON", 0, 27, 0, 1, 28
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\desynced-lls-library.lua", "Lua", 624, 0, 3250, 580, 4454
"c:\Program Files (x86)\Steam\steamapps\common\Desynced\Desynced\Content\mods\The_Cube_WIP\ui.lua", "Lua", 22, 0, 6, 6, 34
"Total", "-", 66520, 27, 7684, 8091, 82322
